"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, MECHANICAL' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
86,ATOMIZATION AND SPRAYS,1.189,0.461
87,Science and Technology for the Built Environment,1.183,0.264
88,JOURNAL OF PRESSURE VESSEL TECHNOLOGY-TRANSACTIONS OF THE ASME,1.182,0.197
88,STROJNISKI VESTNIK-JOURNAL OF MECHANICAL ENGINEERING,1.182,0.207
90,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART F-JOURNAL OF RAIL AND RAPID TRANSIT,1.103,0.391
91,JOURNAL OF THERMOPHYSICS AND HEAT TRANSFER,1.085,0.303
92,International Journal of Spray and Combustion Dynamics,1.083,0.449
93,Proceedings of the Institution of Mechanical Engineers Part P-Journal of Sports Engineering and Technology,1.070,0.204
94,JOURNAL OF POROUS MEDIA,1.061,0.158
95,INTERNATIONAL JOURNAL OF CRASHWORTHINESS,1.053,0.217
96,JOURNAL OF OFFSHORE MECHANICS AND ARCTIC ENGINEERING-TRANSACTIONS OF THE ASME,1.044,0.324
97,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART G-JOURNAL OF AEROSPACE ENGINEERING,1.038,0.246
98,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART A-JOURNAL OF POWER AND ENERGY,1.022,0.237
99,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART C-JOURNAL OF MECHANICAL ENGINEERING SCIENCE,0.996,0.250
100,Journal of Thermal Science and Engineering Applications,0.993,Not Available
101,Latin American Journal of Solids and Structures,0.905,0.242
102,International Journal of Optomechatronics,0.882,0.200
103,Advances in Mechanical Engineering,0.848,0.219
104,International Journal of Surface Science and Engineering,0.841,0.094
105,JOURNAL OF ENGINEERING MATERIALS AND TECHNOLOGY-TRANSACTIONS OF THE ASME,0.828,0.286
106,EXPERIMENTAL TECHNIQUES,0.806,0.216
107,Transactions of FAMENA,0.797,0.106
108,Journal of Engineering Thermophysics,0.767,0.197
109,INDUSTRIAL LUBRICATION AND TRIBOLOGY,0.763,0.132
110,Iranian Journal of Science and Technology-Transactions of Mechanical Engineering,0.732,0.127
111,Journal of Thermal Science,0.678,0.166
112,CHINA OCEAN ENGINEERING,0.674,0.157
113,FORSCHUNG IM INGENIEURWESEN-ENGINEERING RESEARCH,0.667,0.103
114,Mechanics & Industry,0.659,0.186
115,INTERNATIONAL JOURNAL OF VEHICLE DESIGN,0.652,0.170
116,Journal of Vibration Engineering & Technologies,0.615,0.056
117,Journal of Friction and Wear,0.574,0.087
118,Journal of Advanced Mechanical Design Systems and Manufacturing,0.503,0.118
119,MECHANICAL ENGINEERING,0.486,0.092
120,INTERNATIONAL JOURNAL OF OFFSHORE AND POLAR ENGINEERING,0.469,0.200
121,ISI Bilimi ve Teknigi Dergisi-Journal of Thermal Science and Technology,0.422,0.066
122,International Journal of Acoustics and Vibration,0.375,0.128
123,TRANSACTIONS OF THE CANADIAN SOCIETY FOR MECHANICAL ENGINEERING,0.248,0.069
124,ASHRAE JOURNAL,0.220,0.049
125,TRIBOLOGY & LUBRICATION TECHNOLOGY,0.160,0.024
126,Journal of the Chinese Society of Mechanical Engineers,0.112,0.019
127,International Journal of Heavy Vehicle Systems,0.105,0.070
128,SOUND AND VIBRATION,0.098,0.042
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
