"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, CIVIL' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
97,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MARITIME ENGINEERING,0.765,0.178
98,Advanced Steel Construction,0.737,0.231
99,International Journal of Steel Structures,0.734,0.227
100,Beton- und Stahlbetonbau,0.717,0.154
101,TRANSPORTATION RESEARCH RECORD,0.695,0.258
102,JOURNAL OF COLD REGIONS ENGINEERING,0.688,0.299
103,CHINA OCEAN ENGINEERING,0.674,0.157
103,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-STRUCTURES AND BUILDINGS,0.674,0.181
105,Periodica Polytechnica-Civil Engineering,0.636,0.096
106,Baltic Journal of Road and Bridge Engineering,0.622,0.095
107,Structural Engineering International,0.621,0.207
108,JOURNAL AMERICAN WATER WORKS ASSOCIATION,0.599,0.143
109,Gradevinar,0.515,0.090
110,Iranian Journal of Science and Technology-Transactions of Civil Engineering,0.514,0.140
111,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MUNICIPAL ENGINEER,0.500,0.089
112,Bauingenieur,0.477,0.123
113,INTERNATIONAL JOURNAL OF OFFSHORE AND POLAR ENGINEERING,0.469,0.200
114,Revista de la Construccion,0.438,0.047
115,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT,0.431,0.238
116,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-CIVIL ENGINEERING,0.409,0.101
117,GEFAHRSTOFFE REINHALTUNG DER LUFT,0.333,0.037
118,Stahlbau,0.321,0.068
119,Bautechnik,0.291,0.096
120,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-TRANSPORT,0.239,0.111
121,NAVAL ENGINEERS JOURNAL,0.232,0.055
122,Journal of the South African Institution of Civil Engineering,0.222,0.074
123,Tecnologia y Ciencias del Agua,0.216,0.038
124,ITE JOURNAL-INSTITUTE OF TRANSPORTATION ENGINEERS,0.200,0.078
125,ENGINEERING JOURNAL-AMERICAN INSTITUTE OF STEEL CONSTRUCTION,0.194,0.064
126,Teknik Dergi,0.184,0.028
127,CIVIL ENGINEERING,0.182,0.055
128,Journal of Transportation Engineering Part A-Systems,Not Available,Not Available
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
