"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, AEROSPACE','ENGINEERING, MECHANICAL','MECHANICS','NUCLEAR SCIENCE & TECHNOLOGY','THERMODYNAMICS' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
69,JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME,"5,623",2.616,0.005450,0.521
70,VEHICLE SYSTEM DYNAMICS,"4,521",2.613,0.003500,0.563
71,JOURNAL OF COMPOSITES FOR CONSTRUCTION,"4,974",2.606,0.005440,0.844
72,JOURNAL OF TURBOMACHINERY-TRANSACTIONS OF THE ASME,"7,203",2.592,0.004250,0.449
73,FATIGUE & FRACTURE OF ENGINEERING MATERIALS & STRUCTURES,"4,738",2.555,0.003850,0.458
74,JOURNAL OF NUCLEAR MATERIALS,"30,454",2.547,0.031700,0.608
75,RHEOLOGICA ACTA,"4,414",2.531,0.003990,0.796
76,FLUID PHASE EQUILIBRIA,"14,757",2.514,0.013440,0.459
77,ACTA ASTRONAUTICA,"8,843",2.482,0.013560,0.512
78,INTERNATIONAL JOURNAL FOR NUMERICAL AND ANALYTICAL METHODS IN GEOMECHANICS,"5,651",2.481,0.006770,0.904
79,JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY,"17,550",2.471,0.014990,0.280
80,FINITE ELEMENTS IN ANALYSIS AND DESIGN,"4,265",2.456,0.005020,0.818
81,EXPERIMENTS IN FLUIDS,"9,758",2.443,0.009660,0.719
82,Surface Topography-Metrology and Properties,384,2.439,0.001300,Not Available
83,AEROSOL SCIENCE AND TECHNOLOGY,"6,986",2.435,0.005180,0.604
84,Structure and Infrastructure Engineering,"1,994",2.430,0.003940,0.552
85,Journal of Mechanisms and Robotics-Transactions of the ASME,"1,814",2.377,0.003830,0.629
86,FLOW TURBULENCE AND COMBUSTION,"2,506",2.371,0.004240,0.783
86,JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT,"8,237",2.371,0.016350,0.777
88,JOURNAL OF ADHESION,"2,172",2.366,0.001440,0.379
89,MULTIBODY SYSTEM DYNAMICS,"1,698",2.364,0.001980,0.590
90,INTERNATIONAL JOURNAL OF DAMAGE MECHANICS,"1,326",2.342,0.001690,0.441
91,Nonlinear Analysis-Modelling and Control,790,2.339,0.001060,0.347
92,PROBABILISTIC ENGINEERING MECHANICS,"2,464",2.329,0.002820,0.917
93,MECCANICA,"3,922",2.316,0.006840,0.502
94,DRYING TECHNOLOGY,"6,964",2.307,0.004240,0.343
95,JOURNAL OF CHEMICAL AND ENGINEERING DATA,"21,565",2.298,0.014190,0.450
96,JOURNAL OF CHEMICAL THERMODYNAMICS,"10,495",2.290,0.010790,0.436
97,International Journal of Engine Research,"1,523",2.272,0.002130,0.484
98,JOURNAL OF NON-NEWTONIAN FLUID MECHANICS,"6,370",2.270,0.005670,0.766
99,INTERNATIONAL JOURNAL OF RADIATION BIOLOGY,"4,537",2.266,0.003740,0.462
100,JOURNAL OF ENGINEERING MECHANICS,"11,053",2.264,0.007910,0.676
101,EXPERIMENTAL MECHANICS,"5,373",2.256,0.006050,0.675
102,THERMOCHIMICA ACTA,"16,471",2.251,0.009870,0.462
103,JOURNAL OF AEROSOL SCIENCE,"7,112",2.240,0.004400,0.549
104,Building Simulation,886,2.238,0.001580,0.436
105,TRIBOLOGY LETTERS,"5,725",2.235,0.006450,0.563
106,MECHANICS RESEARCH COMMUNICATIONS,"3,115",2.229,0.003840,0.568
107,INTERNATIONAL JOURNAL OF NON-LINEAR MECHANICS,"5,602",2.225,0.006810,0.616
108,COMPUTERS & FLUIDS,"9,918",2.223,0.018470,0.844
109,JOURNAL OF HYDRAULIC ENGINEERING,"11,161",2.206,0.005060,0.604
110,ENGINEERING FAILURE ANALYSIS,"6,069",2.203,0.008580,0.444
