"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, CHEMICAL' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
76,JOURNAL OF SURFACTANTS AND DETERGENTS,"2,078",1.672,0.002230,0.266
77,COMBUSTION THEORY AND MODELLING,"1,460",1.654,0.001390,0.500
78,Journal of Energetic Materials,706,1.649,0.000800,0.379
79,PROPELLANTS EXPLOSIVES PYROTECHNICS,"3,232",1.634,0.003200,0.380
80,CANADIAN JOURNAL OF CHEMICAL ENGINEERING,"6,214",1.610,0.004350,0.276
81,REVISTA DE CHIMIE,"4,332",1.605,0.001530,0.052
82,Environmental Progress & Sustainable Energy,"2,421",1.596,0.003510,0.268
83,COMBUSTION SCIENCE AND TECHNOLOGY,"5,104",1.564,0.003260,0.432
84,KONA Powder and Particle Journal,491,1.553,0.000600,0.417
85,JOURNAL OF FOOD PROCESS ENGINEERING,"1,777",1.448,0.001940,0.249
86,CHEMICAL ENGINEERING COMMUNICATIONS,"3,005",1.431,0.002100,0.232
87,PARTICULATE SCIENCE AND TECHNOLOGY,964,1.424,0.001230,0.211
88,Asia-Pacific Journal of Chemical Engineering,"1,083",1.396,0.001290,0.207
89,PERIODICA POLYTECHNICA-CHEMICAL ENGINEERING,295,1.382,0.000440,0.208
90,SEPARATION SCIENCE AND TECHNOLOGY,"7,003",1.354,0.004830,0.236
91,ATOMIZATION AND SPRAYS,"1,410",1.262,0.001330,0.372
92,COLORATION TECHNOLOGY,"1,122",1.241,0.000790,0.208
93,Desalination and Water Treatment,"12,220",1.234,0.017330,0.170
94,JOURNAL OF ADHESION SCIENCE AND TECHNOLOGY,"3,809",1.210,0.002680,0.214
95,ADSORPTION SCIENCE & TECHNOLOGY,"1,085",1.200,0.000680,0.164
96,Green Processing and Synthesis,363,1.128,0.000570,0.175
97,Central European Journal of Energetic Materials,527,1.098,0.000880,0.247
98,CHEMIE INGENIEUR TECHNIK,"2,330",1.075,0.002200,0.188
99,PETROLEUM SCIENCE AND TECHNOLOGY,"2,657",1.070,0.002440,0.125
100,Revista Mexicana de Ingenieria Quimica,527,1.068,0.000370,0.076
101,International Journal of Chemical Reactor Engineering,"1,085",1.059,0.000910,0.193
