"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'CHEMISTRY, MULTIDISCIPLINARY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
113,Journal of Experimental Nanoscience,1.362,0.189
114,JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY,1.354,0.156
115,Journal of Sulfur Chemistry,1.320,0.161
116,JOURNAL OF INCLUSION PHENOMENA AND MACROCYCLIC CHEMISTRY,1.316,0.229
117,MONATSHEFTE FUR CHEMIE,1.285,0.194
118,CHEMICAL & PHARMACEUTICAL BULLETIN,1.258,0.246
119,JOURNAL OF CHEMICAL SCIENCES,1.254,0.197
120,CHEMICAL RESEARCH IN CHINESE UNIVERSITIES,1.248,0.116
121,CHIMIA,1.245,0.282
122,JOURNAL OF PORPHYRINS AND PHTHALOCYANINES,1.217,0.251
123,SEPARATION SCIENCE AND TECHNOLOGY,1.200,0.263
124,HETEROATOM CHEMISTRY,1.137,0.168
125,ACTA CHIMICA SLOVENICA,1.104,0.151
126,Macroheterocycles,1.086,0.177
127,CANADIAN JOURNAL OF CHEMISTRY,1.084,0.208
128,HELVETICA CHIMICA ACTA,1.081,0.226
129,AUSTRALIAN JOURNAL OF CHEMISTRY,1.059,0.280
130,PHARMAZIE,1.016,0.223
131,CHEMICAL PAPERS,0.963,0.204
132,SOUTH AFRICAN JOURNAL OF CHEMISTRY-SUID-AFRIKAANSE TYDSKRIF VIR CHEMIE,0.953,0.129
133,Theoretical and Experimental Chemistry,0.878,0.109
134,BULLETIN OF THE CHEMICAL SOCIETY OF ETHIOPIA,0.872,0.117
135,JOURNAL OF THE CHINESE CHEMICAL SOCIETY,0.862,0.121
136,IRANIAN JOURNAL OF CHEMISTRY & CHEMICAL ENGINEERING-INTERNATIONAL ENGLISH EDITION,0.860,0.082
137,PROGRESS IN CHEMISTRY,0.820,0.105
138,HYLE,0.800,0.178
139,JOURNAL OF THE SERBIAN CHEMICAL SOCIETY,0.797,0.171
140,RUSSIAN CHEMICAL BULLETIN,0.781,0.125
141,Green Processing and Synthesis,0.736,0.225
142,CROATICA CHEMICA ACTA,0.705,0.204
143,SOLVENT EXTRACTION RESEARCH AND DEVELOPMENT-JAPAN,0.698,0.143
