"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'EDUCATION & EDUCATIONAL RESEARCH','EDUCATION, SCIENTIFIC DISCIPLINES','EDUCATION, SPECIAL' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
81,Learning Disabilities Research & Practice,923,2.077,0.001000,0.826
82,URBAN EDUCATION,"1,552",2.043,0.002020,0.815
83,JOURNAL OF ENVIRONMENTAL EDUCATION,"1,764",2.040,0.000540,0.441
84,Physical Education and Sport Pedagogy,"1,163",2.035,0.001450,0.560
85,Computer Assisted Language Learning,"1,043",2.018,0.001170,0.465
86,European Physical Education Review,873,2.000,0.000990,0.502
86,LANGUAGE LEARNING,"3,675",2.000,0.003290,1.192
88,Physical Review Physics Education Research,365,1.964,0.001280,0.590
88,Physical Review Physics Education Research,365,1.964,0.001280,0.590
90,Journal of School Violence,706,1.962,0.001090,Not Available
90,SPORT EDUCATION AND SOCIETY,"1,694",1.962,0.001770,0.449
92,RESEARCH IN HIGHER EDUCATION,"3,213",1.961,0.002520,1.027
93,EDUCATIONAL POLICY,"1,064",1.955,0.001640,0.756
94,COMPARATIVE EDUCATION REVIEW,"1,196",1.952,0.001350,0.728
94,MINERVA,"1,081",1.952,0.000890,0.677
96,READING AND WRITING,"2,992",1.942,0.004310,0.868
97,JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,"5,114",1.941,0.004760,0.735
98,SYSTEM,"2,993",1.930,0.003380,0.586
99,INTERACTIVE LEARNING ENVIRONMENTS,"1,012",1.929,0.001450,0.342
100,International Journal of Educational Technology in Higher Education,177,1.922,0.000210,0.214
101,JOURNAL OF LITERACY RESEARCH,704,1.886,0.000930,0.808
102,BRITISH JOURNAL OF SOCIOLOGY OF EDUCATION,"2,161",1.883,0.002650,0.671
103,ACADEMIC PSYCHIATRY,"1,425",1.880,0.002330,0.417
104,RESEARCH IN DEVELOPMENTAL DISABILITIES,"7,158",1.872,0.013310,0.660
105,BMC Medical Education,"4,585",1.870,0.010150,0.610
105,BMC Medical Education,"4,585",1.870,0.010150,0.610
105,Journal of Computing in Higher Education,362,1.870,0.000450,0.431
108,AIDS EDUCATION AND PREVENTION,"1,758",1.854,0.002330,0.857
109,Assessing Writing,514,1.841,0.000770,0.579
110,International Review of Research in Open and Distributed Learning,"2,188",1.830,0.001860,0.323
111,Higher Education Research & Development,"2,809",1.824,0.002510,0.429
112,QUEST,"1,398",1.819,0.001070,0.480
113,SCHOOL EFFECTIVENESS AND SCHOOL IMPROVEMENT,"1,238",1.815,0.001230,0.664
114,Educational Management Administration & Leadership,"1,136",1.804,0.000960,0.276
115,Research in Autism Spectrum Disorders,"3,161",1.799,0.005960,0.719
116,Teachers and Teaching,"1,521",1.798,0.001790,0.535
117,RESEARCH AND PRACTICE FOR PERSONS WITH SEVERE DISABILITIES,616,1.795,0.001020,0.793
118,Journal of Science Education and Technology,"1,731",1.785,0.001740,0.411
118,Journal of Science Education and Technology,"1,731",1.785,0.001740,0.411
120,FOREIGN LANGUAGE ANNALS,"1,552",1.782,0.000730,0.273
121,JOURNAL OF EMOTIONAL AND BEHAVIORAL DISORDERS,"1,168",1.775,0.000940,0.705
121,JOURNAL OF TEACHING IN PHYSICAL EDUCATION,"1,413",1.775,0.000970,0.417
123,JOURNAL OF EDUCATIONAL AND BEHAVIORAL STATISTICS,"2,047",1.767,0.002910,1.919
124,Compare-A Journal of Comparative and International Education,944,1.765,0.001460,0.463
125,JOURNAL OF CHEMICAL EDUCATION,"12,588",1.763,0.005320,0.221
126,SECOND LANGUAGE RESEARCH,949,1.750,0.000940,0.684
127,AJIDD-American Journal on Intellectual and Developmental Disabilities,940,1.742,0.001690,0.754
128,AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,"4,209",1.737,0.002090,0.214
129,Journal of English for Academic Purposes,"1,221",1.732,0.001280,0.591
130,EDUCATIONAL REVIEW,"1,144",1.730,0.000950,0.497
131,Distance Education,831,1.729,0.000730,0.457
132,Educational Assessment Evaluation and Accountability,420,1.722,0.000440,0.388
133,Discourse-Studies in the Cultural Politics of Education,"1,439",1.721,0.002420,0.626
134,Medical Education Online,795,1.715,0.002170,0.594
134,TEACHING IN HIGHER EDUCATION,"1,960",1.715,0.001710,0.370
136,Technology Pedagogy and Education,476,1.712,0.000570,0.281
137,Cambridge Journal of Education,"1,196",1.705,0.001230,0.628
138,JOURNAL OF CANCER EDUCATION,"2,007",1.690,0.003670,0.477
139,Studies in Educational Evaluation,834,1.684,0.001160,0.442
140,RESEARCH IN THE TEACHING OF ENGLISH,767,1.675,0.001150,0.913
141,Thinking Skills and Creativity,884,1.655,0.001120,0.325
142,TOPICS IN EARLY CHILDHOOD SPECIAL EDUCATION,886,1.615,0.000900,0.677
143,Psicologia Educativa,102,1.613,0.000300,Not Available
144,Educacion XX1,418,1.597,0.000210,0.100
145,EDUCATIONAL RESEARCH,980,1.585,0.000760,0.427
