"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
91,ACM Transactions on Modeling and Computer Simulation,0.931,0.590
92,JOURNAL OF COMBINATORIAL OPTIMIZATION,0.927,0.555
93,INTERNATIONAL JOURNAL OF MODERN PHYSICS C,0.919,0.232
94,JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,0.869,0.414
95,Statistical Analysis and Data Mining,0.865,Not Available
96,Current Computer-Aided Drug Design,0.770,0.188
97,Computer Supported Cooperative Work-The Journal of Collaborative Computing,0.725,0.375
98,Language Resources and Evaluation,0.656,0.296
99,Computational and Mathematical Organization Theory,0.641,0.213
100,MATHEMATICAL AND COMPUTER MODELLING OF DYNAMICAL SYSTEMS,0.586,0.220
101,COMPUTER MUSIC JOURNAL,0.568,0.162
102,International Journal on Artificial Intelligence Tools,0.565,0.152
103,COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,0.534,0.100
104,ACM Journal on Computing and Cultural Heritage,0.529,Not Available
105,APPLICABLE ALGEBRA IN ENGINEERING COMMUNICATION AND COMPUTING,0.464,0.360
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
