"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'CONSTRUCTION & BUILDING TECHNOLOGY','ENGINEERING, CIVIL','TRANSPORTATION SCIENCE & TECHNOLOGY' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
76,MAGAZINE OF CONCRETE RESEARCH,"3,242",2.026,0.002610,0.364
77,COASTAL ENGINEERING JOURNAL,597,2.016,0.000720,0.412
78,EARTHQUAKE SPECTRA,"5,356",2.005,0.008140,1.210
79,Transportmetrica A-Transport Science,514,1.988,0.001630,0.573
80,JOURNAL OF MATERIALS IN CIVIL ENGINEERING,"9,149",1.984,0.009880,0.492
81,JOURNAL OF ADVANCED TRANSPORTATION,"1,490",1.983,0.002360,0.392
82,Road Materials and Pavement Design,"1,894",1.980,0.002760,0.403
83,JOURNAL OF HYDROINFORMATICS,"1,700",1.908,0.001970,0.392
84,Computers and Concrete,"1,157",1.889,0.001430,0.206
85,MATERIALES DE CONSTRUCCION,825,1.886,0.000820,0.354
86,Structural Concrete,"1,049",1.885,0.001980,0.487
86,WATER INTERNATIONAL,"1,847",1.885,0.001900,0.488
88,European Journal of Environmental and Civil Engineering,953,1.873,0.001930,0.380
89,JOURNAL OF MARINE SCIENCE AND TECHNOLOGY,"1,057",1.845,0.001370,0.408
90,Journal of Bridge Engineering,"3,311",1.840,0.005240,0.529
91,JOURNAL OF SURVEYING ENGINEERING,658,1.766,0.000620,0.325
92,European Transport Research Review,481,1.727,0.000830,0.359
93,FIRE SAFETY JOURNAL,"3,717",1.659,0.003610,0.449
94,JOURNAL OF ENVIRONMENTAL ENGINEERING,"5,549",1.657,0.002830,0.316
95,Structures,493,1.646,0.001310,Not Available
96,JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING,"2,202",1.625,0.001700,0.537
97,Journal of Analytical Methods in Chemistry,904,1.589,0.001960,0.369
98,Earthquakes and Structures,"1,008",1.573,0.002160,0.298
99,Engineering Construction and Architectural Management,"1,415",1.561,0.000490,Not Available
100,JOURNAL OF PERFORMANCE OF CONSTRUCTED FACILITIES,"2,211",1.542,0.004020,0.409
