"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, CHEMICAL' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
101,Chemical Industry & Chemical Engineering Quarterly,0.944,0.190
102,PETROLEUM CHEMISTRY,0.932,0.133
103,BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING,0.925,0.271
104,Chemical and Process Engineering-Inzynieria Chemiczna I Procesowa,0.892,0.177
105,International Journal of Chemical Reactor Engineering,0.881,0.169
106,PERIODICA POLYTECHNICA-CHEMICAL ENGINEERING,0.877,0.128
107,IRANIAN JOURNAL OF CHEMISTRY & CHEMICAL ENGINEERING-INTERNATIONAL ENGLISH EDITION,0.860,0.082
108,TENSIDE SURFACTANTS DETERGENTS,0.819,0.081
109,Green Processing and Synthesis,0.736,0.225
110,PROCESS SAFETY PROGRESS,0.732,0.179
111,SOLVENT EXTRACTION RESEARCH AND DEVELOPMENT-JAPAN,0.698,0.143
112,JOURNAL OF CHEMICAL ENGINEERING OF JAPAN,0.635,0.113
113,ADSORPTION SCIENCE & TECHNOLOGY,0.609,0.144
114,Hemijska Industrija,0.591,0.101
115,JOURNAL OF MICROWAVE POWER AND ELECTROMAGNETIC ENERGY,0.575,0.193
116,International Journal of Oil Gas and Coal Technology,0.563,0.150
117,CHEMICAL ENGINEERING PROGRESS,0.560,0.103
118,Science and Technology of Energetic Materials,0.558,0.120
119,Energy Sources Part A-Recovery Utilization and Environmental Effects,0.555,0.103
120,Solid Fuel Chemistry,0.553,0.043
121,Polish Journal of Chemical Technology,0.550,0.114
122,INTERNATIONAL POLYMER PROCESSING,0.535,0.097
123,THEORETICAL FOUNDATIONS OF CHEMICAL ENGINEERING,0.515,0.097
124,Pigment & Resin Technology,0.486,0.091
125,CHEMICAL & ENGINEERING NEWS,0.466,0.064
126,PRZEMYSL CHEMICZNY,0.399,0.035
127,Macedonian Journal of Chemistry and Chemical Engineering,0.391,0.125
128,CHEMISTRY AND TECHNOLOGY OF FUELS AND OILS,0.360,0.051
129,INDIAN JOURNAL OF CHEMICAL TECHNOLOGY,0.348,0.092
130,AATCC REVIEW,0.333,0.030
131,China Petroleum Processing & Petrochemical Technology,0.325,0.058
132,KAGAKU KOGAKU RONBUNSHU,0.247,0.030
133,CHEMICAL ENGINEERING,0.209,0.046
134,KGK-Kautschuk Gummi Kunststoffe,0.171,0.047
135,LATIN AMERICAN APPLIED RESEARCH,0.145,0.051
136,FILTRATION & SEPARATION,0.140,0.040
137,SURFACE COATINGS INTERNATIONAL,0.000,0.000
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
