Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE Selected Categories: 'ZOOLOGY' Selected Category Scheme: WoS,,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
101,Zoosystematics and Evolution,0.862,0.301
102,ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,0.846,0.202
103,ACTA AMAZONICA,0.837,Not Available
104,Herpetological Conservation and Biology,0.835,0.276
105,CHELONIAN CONSERVATION AND BIOLOGY,0.828,0.301
106,PACIFIC SCIENCE,0.822,0.278
107,ANNALS OF CARNEGIE MUSEUM,0.810,0.268
108,ISJ-Invertebrate Survival Journal,0.806,0.228
109,NAUTILUS,0.789,0.389
110,ICHTHYOLOGICAL EXPLORATION OF FRESHWATERS,0.783,0.425
111,BELGIAN JOURNAL OF ZOOLOGY,0.778,0.276
111,TROPICAL ZOOLOGY,0.778,0.236
113,AUSTRALIAN JOURNAL OF ZOOLOGY,0.768,0.282
114,ICHTHYOLOGICAL RESEARCH,0.765,0.251
115,AFRICAN ZOOLOGY,0.761,0.257
116,REVUE SUISSE DE ZOOLOGIE,0.759,0.180
117,ANNALES ZOOLOGICI FENNICI,0.732,0.301
118,Acta Herpetologica,0.729,0.234
119,Zoologia,0.723,0.304
120,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,0.722,0.271
121,RAFFLES BULLETIN OF ZOOLOGY,0.716,0.366
122,MAMMALIA,0.714,0.251
123,ACTA ICHTHYOLOGICA ET PISCATORIA,0.708,0.193
124,African Journal of Wildlife Research,0.659,0.141
125,COMPARATIVE PARASITOLOGY,0.636,0.193
126,ITALIAN JOURNAL OF ZOOLOGY,0.597,0.220
127,North-Western Journal of Zoology,0.596,0.205
127,South American Journal of Herpetology,0.596,Not Available
129,Asian Herpetological Research,0.594,0.189
130,COMPARATIVE MEDICINE,0.585,0.252
131,MOLLUSCAN RESEARCH,0.574,0.148
132,TURKISH JOURNAL OF ZOOLOGY,0.558,0.200
133,Veterinary Research Forum,0.549,Not Available
134,PAKISTAN JOURNAL OF ZOOLOGY,0.547,0.114
135,Animal Cells and Systems,0.544,0.103
136,ZOOLOGY IN THE MIDDLE EAST,0.528,0.157
137,ACTA BIOLOGICA COLOMBIANA,0.525,Not Available
138,CURRENT HERPETOLOGY,0.524,Not Available
139,AMERICAN MALACOLOGICAL BULLETIN,0.519,0.228
139,RUSSIAN JOURNAL OF NEMATOLOGY,0.519,0.118
141,AFRICAN INVERTEBRATES,0.516,0.146
142,JOURNAL OF CONCHOLOGY,0.512,0.146
143,AFRICAN JOURNAL OF HERPETOLOGY,0.500,0.197
144,FOLIA ZOOLOGICA,0.467,0.215
145,RECORDS OF THE AUSTRALIAN MUSEUM,0.458,0.192
146,MAMMAL STUDY,0.446,0.156
147,ZOOSYSTEMA,0.434,0.263
148,JOURNAL OF MEDICAL PRIMATOLOGY,0.432,0.208
149,GAYANA,0.419,0.184
150,HELMINTHOLOGIA,0.417,0.167
151,NEW ZEALAND JOURNAL OF ZOOLOGY,0.415,0.185
152,RUSSIAN JOURNAL OF HERPETOLOGY,0.407,Not Available
153,SPIXIANA,0.375,0.194
154,ACTA ZOOLOGICA BULGARICA,0.369,0.094
155,BOLETIM DO INSTITUTO DE PESCA,0.348,0.099
156,CYBIUM,0.346,0.187
157,PHYLLOMEDUSA,0.333,Not Available
158,PACHYDERM,0.318,0.226
159,REDIA-GIORNALE DI ZOOLOGIA,0.302,0.143
160,IHERINGIA SERIE ZOOLOGIA,0.294,0.174
161,CALDASIA,0.292,0.115
162,NEMATROPICA,0.245,0.123
163,ZOOLOGICHESKY ZHURNAL,0.226,0.063
164,RUSSIAN JOURNAL OF THERIOLOGY,0.194,Not Available
165,CALIFORNIA FISH AND GAME,0.175,0.095
166,BULLETIN MENSUEL DE LA SOCIETE LINNEENNE DE LYON,0.064,0.010
167,European Zoological Journal,Not Available,Not Available
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
